#Distance         all[Pr]     all[std]
      6.6750    1494.9810       4.5309
      6.6850    1496.2175       4.5170
      6.6950    1497.4470       4.5346
      6.7050    1498.1400       4.5180
      6.7150    1496.2110       4.5170
      6.7250    1498.4640       4.5235
      6.7350    1501.5665       4.5332
      6.7450    1501.7420       4.5295
      6.7550    1502.5015       4.5098
      6.7650    1504.3230       4.5265
      6.7750    1506.5555       4.5258
      6.7850    1505.4070       4.5292
      6.7950    1508.1370       4.5394
      6.8050    1507.8510       4.5274
      6.8150    1508.9915       4.5366
      6.8250    1512.9735       4.5398
      6.8350    1512.1360       4.5381
      6.8450    1515.3620       4.5374
      6.8550    1515.0855       4.5379
      6.8650    1515.1845       4.5407
      6.8750    1515.8205       4.5331
      6.8850    1518.6430       4.5446
      6.8950    1519.8430       4.5264
      6.9050    1520.8600       4.5533
      6.9150    1521.0590       4.5364
      6.9250    1522.8620       4.5407
      6.9350    1521.3630       4.5446
      6.9450    1525.1635       4.5490
      6.9550    1525.3405       4.5396
      6.9650    1524.7480       4.5418
      6.9750    1526.0095       4.5443
      6.9850    1525.7575       4.5368
      6.9950    1527.4995       4.5462
      7.0050    1527.1660       4.5459
      7.0150    1525.2645       4.5486
      7.0250    1526.6105       4.5487
      7.0350    1527.2850       4.5395
      7.0450    1525.8435       4.5421
      7.0550    1527.2670       4.5420
      7.0650    1528.4925       4.5485
      7.0750    1526.2880       4.5338
      7.0850    1524.4410       4.5357
      7.0950    1526.0105       4.5432
      7.1050    1523.8145       4.5069
      7.1150    1524.9205       4.5245
      7.1250    1523.3750       4.5330
      7.1350    1522.0730       4.5277
      7.1450    1521.2510       4.5332
      7.1550    1520.7265       4.5174
      7.1650    1519.4400       4.5242
      7.1750    1518.7080       4.5408
      7.1850    1518.3705       4.5206
      7.1950    1515.9000       4.5134
      7.2050    1516.7010       4.5060
      7.2150    1516.5330       4.5218
      7.2250    1513.9765       4.5243
      7.2350    1514.0280       4.5133
      7.2450    1512.4590       4.5172
      7.2550    1513.2400       4.5304
      7.2650    1512.4525       4.5196
      7.2750    1511.4170       4.5198
      7.2850    1510.9185       4.5174
      7.2950    1509.5810       4.5252
      7.3050    1507.7265       4.5099
      7.3150    1509.1840       4.5157
      7.3250    1506.6055       4.5146
      7.3350    1506.2570       4.5318
      7.3450    1505.3095       4.5183
      7.3550    1504.7705       4.5093
      7.3650    1504.2955       4.5124
